trip_id,start_time,end_time,headway_secs,ROUTE_ID,SHORT,Servicio,num_paradas,trayectos
1018D2I,06:00:00,06:23:00,1380,5,C1,FES,9,1
1018D2I,06:23:00,07:21:00,1160,5,C1,FES,9,3
1018D2I,07:21:00,20:59:00,591,5,C1,FES,9,83
1018D2I,20:59:00,22:08:00,840,5,C1,FES,9,5
1018D2V,06:15:00,06:39:00,1440,5,C1,FES,10,1
1018D2V,06:39:00,07:37:00,1160,5,C1,FES,10,3
1018D2V,07:37:00,20:49:00,594,5,C1,FES,10,80
1018D2V,20:49:00,22:00:00,855,5,C1,FES,10,5
1018D0I,06:00:00,06:25:00,1500,5,C1,LAB,9,1
1018D0I,06:25:00,06:50:00,750,5,C1,LAB,9,2
1018D0I,06:50:00,21:03:00,478,5,C1,LAB,9,107
1018D0I,21:03:00,22:00:00,780,5,C1,LAB,9,4
1018D0V,06:17:00,06:42:00,1500,5,C1,LAB,10,1
1018D0V,06:42:00,07:07:00,750,5,C1,LAB,10,2
1018D0V,07:07:00,20:54:00,482,5,C1,LAB,10,103
1018D0V,20:54:00,21:50:00,800,5,C1,LAB,10,4
1018D1I,06:00:00,06:23:00,1380,5,C1,SAB,9,1
1018D1I,06:23:00,07:21:00,1160,5,C1,SAB,9,3
1018D1I,07:21:00,20:59:00,591,5,C1,SAB,9,83
1018D1I,20:59:00,22:08:00,840,5,C1,SAB,9,5
1018D1V,06:15:00,06:39:00,1440,5,C1,SAB,10,1
1018D1V,06:39:00,07:37:00,1160,5,C1,SAB,10,3
1018D1V,07:37:00,20:49:00,594,5,C1,SAB,10,80
1018D1V,20:49:00,22:00:00,855,5,C1,SAB,10,5
1034D2I,07:15:00,08:00:00,2700,28,28,FES,16,1
1034D2I,08:00:00,08:49:00,1470,28,28,FES,16,2
1034D2I,08:49:00,23:00:00,821,28,28,FES,16,62
1034D2I,23:00:00,23:50:00,3000,28,28,FES,16,1
1034D2I,23:50:00,00:40:00,3000,28,28,FES,16,1
1034D2I,00:40:00,01:30:00,3000,28,28,FES,16,1
1034D2V,06:50:00,07:35:00,2700,28,28,FES,21,1
1034D2V,07:35:00,08:23:00,1440,28,28,FES,21,2
1034D2V,08:23:00,22:35:00,837,28,28,FES,21,61
1034D2V,22:35:00,23:25:00,3000,28,28,FES,21,1
1034D2V,23:25:00,00:15:00,3000,28,28,FES,21,1
1034D2V,00:15:00,01:05:00,3000,28,28,FES,21,1
1034D0I,05:55:00,06:25:00,1800,28,28,LAB,16,1
1034D0I,06:25:00,08:08:00,773,28,28,LAB,16,8
1034D0I,08:08:00,20:59:00,487,28,28,LAB,16,95
1034D0I,20:59:00,22:15:00,640,28,28,LAB,16,7
1034D0I,22:15:00,23:00:00,2700,28,28,LAB,16,1
1034D0I,23:00:00,23:50:00,3000,28,28,LAB,16,1
1034D0I,23:50:00,00:40:00,3000,28,28,LAB,16,1
1034D0I,00:40:00,01:30:00,3000,28,28,LAB,16,1
1034D0V,05:30:00,06:00:00,1800,28,28,LAB,21,1
1034D0V,06:00:00,07:56:00,773,28,28,LAB,21,9
1034D0V,07:56:00,08:05:00,1080,28,28,LAB,21,0
1034D0V,08:05:00,08:13:00,240,28,28,LAB,21,2
1034D0V,08:13:00,08:28:00,900,28,28,LAB,21,1
1034D0V,08:28:00,08:35:00,420,28,28,LAB,21,1
1034D0V,08:35:00,21:04:00,494,28,28,LAB,21,91
1034D0V,21:04:00,22:15:00,710,28,28,LAB,21,6
1034D0V,22:15:00,22:35:00,1200,28,28,LAB,21,1
1034D0V,22:35:00,23:25:00,3000,28,28,LAB,21,1
1034D0V,23:25:00,00:15:00,3000,28,28,LAB,21,1
1034D0V,00:15:00,01:05:00,3000,28,28,LAB,21,1
1034D1I,05:55:00,06:42:00,2820,28,28,SAB,16,1
1034D1I,06:42:00,07:54:00,2160,28,28,SAB,16,2
1034D1I,07:54:00,08:30:00,1080,28,28,SAB,16,2
1034D1I,08:30:00,23:00:00,715,28,28,SAB,16,73
1034D1I,23:00:00,03:10:00,1500,28,28,SAB,16,10
