entityid,name
EstadoTrafico_335,PLAÇA DEL AJUNTAMENT
EstadoTrafico_12,CAVANILLES
EstadoTrafico_18,GIORGETA CAP A PEREZ GALDOS
EstadoTrafico_27,MARQUES DEL TURIA CAP A GERMANIES
EstadoTrafico_30,FERRAN EL CATOLIC CAP A PONT DE LAS GLORIES VALENCIANES
EstadoTrafico_32,RAMÓN Y CAJAL HACIA PLAZA ESPAÑA
EstadoTrafico_40,GUILLEM DE CASTRO
EstadoTrafico_52,PAZ (DE GENERAL TOVAR A MARQUÉS DE DOS AGUAS)
EstadoTrafico_54,FRANCIA (DE MENORCA A T. DE MONTAÑANA)
EstadoTrafico_67,TRES CREUS (DES DE TRES FORQUES A AV. DEL CID)
EstadoTrafico_71,JESUS
EstadoTrafico_48,GENERAL AVILÉS (DE MTRO. RODRIGO A P�?O XII)
EstadoTrafico_76,TRES CREUS (DES DE AV. DEL CID A TRES FORQUES)
EstadoTrafico_83,ARXIDUC CARLES CAP A TRES CREUS
EstadoTrafico_85,ALCALDE REIG CAP A AV. DE LA PLATA
EstadoTrafico_90,TOMAS DE MONTAÑANA CAP A AV. DEL PORT
EstadoTrafico_91,M. CANDELA CAP A BLASCO IBAÑEZ
EstadoTrafico_92,CATALUÑA DE SALIDA
EstadoTrafico_129,GERMANIES CAP A MARQUES DEL TURIA
EstadoTrafico_150,PRIMADO REIG (DE CATALUÑA A EMILIO BARÓ)
EstadoTrafico_193,PASO INFERIOR PROFESOR LÓPEZ PIÑERO DE ENTRADA
EstadoTrafico_196,EUGENIA VIÑES (DE HISTORIADOR COLOMA A MEDITERR�?NEO)
EstadoTrafico_201,GENERAL AVILES (DE PIO XII A MESTRE RODRIGO)
EstadoTrafico_454,FILIPINES CAP A AUSIAS MARCH
EstadoTrafico_420,BLASCO IBAÑEZ (DES DE RAMON LLULL A CLARIANO)
EstadoTrafico_404,MALILLA CAP A CENTRE CIUTAT
EstadoTrafico_421,BLASCO IBAÑEZ A VIVERS (DES DE CLARIANO A AV. ARAGO)
EstadoTrafico_465,CARRERA RIU CAP A CAMI DE LES MORERES
EstadoTrafico_473,QUEVEDO (DES D'AV. DE L'OEST FINS A GUILLEM DE CASTRO)
EstadoTrafico_459,VIA DE SERVEI D'ANTONIO FERRANDIS CAP A AUTOPISTA DEL SALER
EstadoTrafico_466,ACCES DES DE EDUARDO PRIMO YUFERA A CAMI DE LES MORERES
EstadoTrafico_1,AV. CATALUNYA D'ENTRADA
EstadoTrafico_4,ISLAS CANARIAS (DE IBIZA A MANUEL CANDELA)
EstadoTrafico_47,PASO INFERIOR GERMANIAS HACIA PLAZA ESPAÑA
EstadoTrafico_162,PASO INFERIOR DE PESET ALEIXANDRE HACIA P. REIG
EstadoTrafico_185,HNOS. MACHADO (DE ALFAHUIR A V-21)
EstadoTrafico_453,CLARIANO D'ENTRADA
EstadoTrafico_7,SAN VICENTE (DE PLAZA DE ESPAÑA A S. AGUSTIN)
EstadoTrafico_33,CAMINO DE MONCADA (DE HNOS. MACHADO A POBLE NOU)
EstadoTrafico_42,PLAZA DE TETU�?N
EstadoTrafico_44,PAV�?A (DE MEDITERR�?NEO A HISTORIADOR COLOMA)
EstadoTrafico_51,SAN VICENTE (DE SAN AGUSTIN A MªCRISTINA)
EstadoTrafico_53,ROGER DE LAURIA
EstadoTrafico_78,ANGEL GUIMER�? (DE F. CATÓLICO A P. GALDÓS)
EstadoTrafico_80,AUSIAS MARCH HACIA PERIS Y VALERO
EstadoTrafico_84,ALCALDE REIG HACIA PERIS Y VALERO
EstadoTrafico_140,CUENCA (DE PÉREZ GALDÓS A ALBERIQUE)
EstadoTrafico_172,PUENTE DE LAS FLORES
EstadoTrafico_182,SAGUNTO (DE PLAZA STA. MÓNICA A RUAYA)
EstadoTrafico_186,SAN VICENTE (DE FDO. ABRIL MARTORELL A GIORGETA)
EstadoTrafico_192,PASO INFERIOR PROFESOR LÓPEZ PIÑERO DE SALIDA
