,"entityid","name"
0,"puntoMedida_1000_tra","CAMP DE TURIA, S/N [de Av. Cortes Valencianas a Cordoba]"
1,"puntoMedida_1001_tra","AV. CORTES VALENCIANAS [LATERAL], Nº 17 [de La Safor a Padre Barranco]"
2,"puntoMedida_1002_tra","AV. CORTES VALENCIANAS, Nº 17 [de La Safor a Paso Inf. y Gral. Avilés]"
3,"puntoMedida_1003_tra","CAMP DE TURIA, S/N [de Nicasio Benlloch a Cortes Valencianas]"
4,"puntoMedida_1004_tra","NICASIO BENLLOCH, S/N [ESQ. CAMP DE TURIA] [de Camp de Túria a Sierra de Agullent]"
5,"puntoMedida_1005_tra","CV-35 SALIDA [desde Camp de Túria]"
6,"puntoMedida_1006_tra","CANAL DE NAVARRES, S/N [de Av. Cortes Valencianas a la Marina Alta]"
7,"puntoMedida_1007_tra","L`HORTA SUD, S/N [de Av. Cortes Valencianas a Nicasio Benlloch]"
8,"puntoMedida_1008_tra","L`HORTA SUD, S/N [de Nicasio Benlloch a Av. Cortes Valencianas]"
9,"puntoMedida_1009_tra","NICASIO BENLLOCH, Nº 122 [de Sierra de Agullent a la Safor]"
10,"puntoMedida_100_tra","AV. PERIS Y VALERO, Nº 191 [de Salamanca a Reino de Valencia]"
11,"puntoMedida_1010_tra","LA SAFOR, S/N [de Nicasio Benlloch a Av. Cortes Valencianas]"
12,"puntoMedida_1011_tra","NICASIO BENLLOCH, Nº 74 [de La Safor a Benicadell]"
13,"puntoMedida_1012_tra","LA SAFOR, S/N [de Av. Cortes Valencianas a Nicasio Benlloch]"
14,"puntoMedida_1013_tra","LA SAFOR, Nº 10 [de Av. Cortes Valencianas a La Marina Alta]"
15,"puntoMedida_1014_tra","CAMP DE TURIA, S/N [de Maestro Rodrigo a Marina Baixa]"
16,"puntoMedida_1015_tra","MAESTRO RODRIGO, Nº 107 [de la Safor a Gral. Avilés]"
17,"puntoMedida_1016_tra","MAESTRO RODRIGO, Nº 78 [de La Safor a Camp de Túria]"
18,"puntoMedida_1017_tra","MAESTRO RODRIGO, S/N [de Camp de Túria a La Safor]"
19,"puntoMedida_1018_tra","LA SAFOR, Nº 19 [de Maestro Rodrigo a Av. Cortes Valencianas]"
20,"puntoMedida_1019_tra","ACCESO A BENIMAMET, DE MAESTRO RODRIGO  A  BENIMAMET"
21,"puntoMedida_101_tra","AV. PERIS Y VALERO, Nº 177 [de Alejandro VI a Duque de Calabria]"
22,"puntoMedida_1020_tra","ACCESO DE BENIMAMET, DE  BENIMAMET A MAESTRO RODRIGO"
23,"puntoMedida_1021_tra","AV. CORTES VALENCIANAS, S/N [de Padre Barranco a Gral. Avilés]"
24,"puntoMedida_1022_tra","P.I. AV. PÍO XII [ENTRADA] [de La Safor a Av. Campanar]"
25,"puntoMedida_1023_tra","P.I. AV. PÍO XII [SALIDA] [de Av. Campanar a La Safor]"
26,"puntoMedida_1024_tra","AV. FRANCIA, Nº 19 [de Alfredo Torán y Olmos a Tomás Montañana]"
27,"puntoMedida_1025_tra","ALAMEDA, FRENTE Nº 46 [de Vicente Beltrán a Menorca]"
28,"puntoMedida_1026_tra","MENORCA, Nº 20 [de Av. Francia a Alameda]"
29,"puntoMedida_1027_tra","MENORCA, Nº 17 [de Alameda a Av. Francia]"
30,"puntoMedida_1028_tra","MENORCA, S/N [de Av. Baleares a Av. Francia]"
31,"puntoMedida_1029_tra","PINTOR MAELLA, S/N [de Baleares a Av. Francia]"
32,"puntoMedida_102_tra","ESCULTOR JOSÉ CAPUZ, Nº 35 [de Pedro Aleixandre a Godofredo Ros]"
33,"puntoMedida_1033_tra","MENORCA, Nº 11 [de Av. Baleares a Rodrigo de Pertegas]"
34,"puntoMedida_1034_tra","IBIZA, Nº 25 [de Av. Baleares a Méndez Nuñez]"
35,"puntoMedida_1035_tra","MENORCA, Nº 2 [de Rodrigo de Pertegás a Av. Baleares]"
36,"puntoMedida_1036_tra","IBIZA, Nº 22 [de Méndez Nuñez a Baleares]"
37,"puntoMedida_1037_tra","IBIZA, Nº 17 [de Méndez Nuñez a I.Canarias]"
38,"puntoMedida_1038_tra","AV. FRANCIA, Nº 16 [de Alfredo Torán y Olmos a Pintor Maella]"
39,"puntoMedida_1039_tra","ALAMEDA, Nº 46 [de Vicente Beltrán a Padre Tomás Montañana]"
40,"puntoMedida_103_tra","AV. REINO DE VALENCIA, Nº 87 [de Alcalde Reig a Av. Peris y Valero]"
41,"puntoMedida_1040_tra","AV. HERMANOS MACHADO, S/N [De Salvador Cervero a Salida Ciudad]"
42,"puntoMedida_1041_tra","JUAN XXIII, S/N [de Av. Hnos. Machado a Rio Nervión]"
43,"puntoMedida_1042_tra","JUAN XXIII, S/N [GASOLINERA] [de Río Nervión a Av. Hnos. Machado]"
44,"puntoMedida_1043_tra","JUAN XXIII, Nº 45 [de Rio Nervión a Castellonet]"
45,"puntoMedida_1044_tra","JUAN XXIII, Nº 40 [de Pedro Cabanes a Rio Nervión]"
46,"puntoMedida_1045_tra","JUAN XXIII, Nº 33 [de Castellonet a Gil Sumbiela]"
47,"puntoMedida_1046_tra","AVENIDA TRES CRUCES, S/N [de Gaspar Aguilar a Campos Crespo]"
48,"puntoMedida_1047_tra","AV. DR. TOMAS SALA s/n [de Jerónima Galés a Gaspar Aguilar]"
49,"puntoMedida_1048_tra","AV. DR. TOMAS SALA, Nº 8 [de Pío IX a San Marcelino]"
50,"puntoMedida_1049_tra","AV. DR. TOMAS SALA nº 19 [de Carteros a Jerónima Galés]"
51,"puntoMedida_104_tra","AV. REINO DE VALENCIA, Nº 98 [de Av. Peris y Valero a Alcalde Reig]"
52,"puntoMedida_1050_tra","AV. DR. TOMAS SALA, S/N [de San Marcelino a San Vicente Mártir]"
53,"puntoMedida_1051_tra","AV. DR. TOMAS SALA, Nº 45 [de San Vicente Mártir a Carteros]"
54,"puntoMedida_1052_tra","SAN VICENTE MARTIR, Nº 386 [de Fdo. Abril Martorell a Arzobispo Olaechea]"
55,"puntoMedida_1053_tra","SAN VICENTE MARTIR, Nº 317 [de Fdo. Abril Martorell a Tomás de Villarroya]"
56,"puntoMedida_1054_tra","SAN VICENTE MARTIR, Nº 412 [de Arzobispo Olaechea a Fdo. Abril Martorell]"
57,"puntoMedida_1058_tra","ALFAHUIR, Nº 26 [de J. Maria Pinazo a Av. Valladolid]"
58,"puntoMedida_1059_tra","ALFAHUIR, S/N [de Clara Campoamor a Av. Primado Reig]"
59,"puntoMedida_105_tra","PTE. REINO VALENCIA [De Alameda a Alcalde Reig]"
60,"puntoMedida_1060_tra","FDO. ABRIL MARTORELL, S,/N [de Ausias March a Cª Malilla]"
61,"puntoMedida_1061_tra","FDO. ABRIL MARTORELL, S/N [SALIDA DE LA FE] [de Cª Malilla a Ausias March]"
62,"puntoMedida_1062_tra","AV. AUSIAS MARCH, Nº 105 [de Fdo. Abril Martorell a Pista de Silla, salida ciudad]"
63,"puntoMedida_1063_tra","AV. AUSIAS MARCH, Nº 105 [de V-31a Antonio Ferrandis]"
64,"puntoMedida_1064_tra","ANTONIO FERRANDIS, S/N [de Bombero Ramon Duart Carrera Fuente S. Luis]"
65,"puntoMedida_1065_tra","Cª FUENTE SAN LUIS, S/N [de Antonio Ferrandis a Ángel de Villena]"
66,"puntoMedida_1066_tra","Cª FUENTE SAN LUIS, S/N [de Ángel de Villena a Antonio Ferrandis]"
67,"puntoMedida_1067_tra","GRABADOR JORDÁN, FRENTE Nº 7 [de Antonio Ferrandis a Río Seco]"
68,"puntoMedida_1068_tra","ANTONIO FERRANDIS, S/N  [de Grabador Jordán a Carrera Fuente En Corts]"
69,"puntoMedida_106_tra","PTE. REINO VALENCIA [de Alcalde Reig a Alameda]"
70,"puntoMedida_1071_tra","Cª MALILLA, Nº 99 [de Fdo. Abril Martorell a I.Formentera]"
71,"puntoMedida_1072_tra","FDO. ABRIL MARTORELL, S/N [de Cª Malilla a Av. Ausias March]"
72,"puntoMedida_1078_tra","FDO. ABRIL MARTORELL CALZADA LATERAL [de Río Eresma a Cª Malilla]"
73,"puntoMedida_1079_tra","AV. AUSIAS MARCH, Nº 83 [de Antonio Ferrandis a Ebanista Caselles]"
74,"puntoMedida_108_tra","AV. AUSIAS MARCH, Nº 15 [de Rubén Vela a Pl. Manuel Sanchis Guarner]"
75,"puntoMedida_1098_tra","LAURIA, Nº 2 [de Pl. Ayuntamiento a Pascual y Genís]"
