entityID,entityType,dayType<TextUnrestricted>,sourceRef<TextUnrestricted>,location<geo:json>,o3<Number>,trend<TextUnrestricted>,zone<TextUnrestricted>,pm25<Number>,name<TextUnrestricted>,sceneRef<TextUnrestricted>,TimeInstant<DateTime>,no2<Number>,pm10<Number>
A01_AVFRANCIA_60m,AirQualityObserved,Domingo,A01_AVFRANCIA_60m,,56.82,,,6.42,,N/A,2024-05-21 00:00:00+00:00,12.09,12.27
A01_AVFRANCIA_60m,AirQualityObserved,Laborable,A01_AVFRANCIA_60m,,57.99,,,8.66,,N/A,2024-05-21 00:00:00+00:00,10.27,15.42
A01_AVFRANCIA_60m,AirQualityObserved,Laborable,A01_AVFRANCIA_60m,,52.16,,,6.09,,N/A,2024-05-21 00:00:00+00:00,16.63,14.95
A01_AVFRANCIA_60m,AirQualityObserved,Sabado,A01_AVFRANCIA_60m,,52.85,,,7.2,,N/A,2024-05-21 00:00:00+00:00,9.66,20.29
A01_AVFRANCIA_60m,AirQualityObserved,Sabado,A01_AVFRANCIA_60m,,55.54,,,6.33,,N/A,2024-05-21 00:00:00+00:00,15.0,13.88
A01_AVFRANCIA_60m,AirQualityObserved,Viernes,A01_AVFRANCIA_60m,,54.25,,,6.58,,N/A,2024-05-21 00:00:00+00:00,10.0,16.31
A01_AVFRANCIA_60m,AirQualityObserved,Viernes,A01_AVFRANCIA_60m,,54.33,,,6.36,,N/A,2024-05-21 00:00:00+00:00,16.74,16.19
A03_MOLISOL_24h,AirQualityObserved,Domingo,A03_MOLISOL_24h,,55.56,,,10.67,,N/A,2024-05-21 00:00:00+00:00,16.22,17.33
A03_MOLISOL_24h,AirQualityObserved,Domingo,A03_MOLISOL_24h,,54.09,,,7.53,,N/A,2024-05-21 00:00:00+00:00,15.02,12.56
A03_MOLISOL_24h,AirQualityObserved,Laborable,A03_MOLISOL_24h,,55.5,,,11.59,,N/A,2024-05-21 00:00:00+00:00,17.38,20.32
A03_MOLISOL_24h,AirQualityObserved,Laborable,A03_MOLISOL_24h,,51.78,,,7.56,,N/A,2024-05-21 00:00:00+00:00,16.46,12.77
A03_MOLISOL_24h,AirQualityObserved,Sabado,A03_MOLISOL_24h,,53.44,,,11.0,,N/A,2024-05-21 00:00:00+00:00,20.44,18.78
A03_MOLISOL_24h,AirQualityObserved,Sabado,A03_MOLISOL_24h,,51.57,,,7.47,,N/A,2024-05-21 00:00:00+00:00,18.53,12.76
A03_MOLISOL_24h,AirQualityObserved,Viernes,A03_MOLISOL_24h,,51.1,,,12.3,,N/A,2024-05-21 00:00:00+00:00,22.9,21.3
A03_MOLISOL_24h,AirQualityObserved,Viernes,A03_MOLISOL_24h,,49.96,,,14.27,,N/A,2024-05-21 00:00:00+00:00,25.67,17.54
A03_MOLISOL_60m,AirQualityObserved,Domingo,A03_MOLISOL_60m,,59.11,,,6.32,,N/A,2024-05-21 00:00:00+00:00,12.93,9.42
A03_MOLISOL_60m,AirQualityObserved,Domingo,A03_MOLISOL_60m,,56.85,,,5.81,,N/A,2024-05-21 00:00:00+00:00,12.13,10.34
A03_MOLISOL_60m,AirQualityObserved,Laborable,A03_MOLISOL_60m,,54.56,,,9.48,,N/A,2024-05-21 00:00:00+00:00,21.08,12.64
A03_MOLISOL_60m,AirQualityObserved,Laborable,A03_MOLISOL_60m,,52.84,,,5.37,,N/A,2024-05-21 00:00:00+00:00,17.53,10.91
