entityID,entityType,dayType<TextUnrestricted>,sourceRef<TextUnrestricted>,location<geo:json>,occupation<Number>,trend<TextUnrestricted>,name<TextUnrestricted>,zone<TextUnrestricted>,occupationpercent<Number>,capacity<Number>,hour<Number>,sceneRef<TextUnrestricted>,TimeInstant<DateTime>
parking_6,OffStreetParking,Domingo,parking_6,,,,,,64.02,,,N/A,2024-05-21 00:00:00+00:00
parking_75,OffStreetParking,Domingo,parking_75,,,,,,74.98,,,N/A,2024-05-21 00:00:00+00:00
parking_79,OffStreetParking,Domingo,parking_79,,,,,,77.35,,,N/A,2024-05-21 00:00:00+00:00
parking_34,OffStreetParking,Sabado,parking_34,,,,,,54.61,,,N/A,2024-05-21 00:00:00+00:00
parking_5,OffStreetParking,Domingo,parking_5,,,,,,96.7,,,N/A,2024-05-21 00:00:00+00:00
parking_6,OffStreetParking,Laborable,parking_6,,,,,,26.27,,,N/A,2024-05-21 00:00:00+00:00
parking_120,OffStreetParking,Sabado,parking_120,,,,,,84.17,,,N/A,2024-05-21 00:00:00+00:00
parking_6,OffStreetParking,Laborable,parking_6,,,,,,30.22,,,N/A,2024-05-21 00:00:00+00:00
parking_8,OffStreetParking,Sabado,parking_8,,,,,,77.45,,,N/A,2024-05-21 00:00:00+00:00
parking_78,OffStreetParking,Domingo,parking_78,,,,,,25.17,,,N/A,2024-05-21 00:00:00+00:00
parking_50,OffStreetParking,Domingo,parking_50,,,,,,48.26,,,N/A,2024-05-21 00:00:00+00:00
parking_77,OffStreetParking,Laborable,parking_77,,,,,,53.21,,,N/A,2024-05-21 00:00:00+00:00
parking_34,OffStreetParking,Laborable,parking_34,,,,,,63.52,,,N/A,2024-05-21 00:00:00+00:00
parking_7,OffStreetParking,Laborable,parking_7,,,,,,54.01,,,N/A,2024-05-21 00:00:00+00:00
parking_79,OffStreetParking,Laborable,parking_79,,,,,,74.61,,,N/A,2024-05-21 00:00:00+00:00
parking_13,OffStreetParking,Sabado,parking_13,,,,,,74.36,,,N/A,2024-05-21 00:00:00+00:00
parking_77,OffStreetParking,Sabado,parking_77,,,,,,85.97,,,N/A,2024-05-21 00:00:00+00:00
parking_79,OffStreetParking,Sabado,parking_79,,,,,,77.23,,,N/A,2024-05-21 00:00:00+00:00
parking_77,OffStreetParking,Sabado,parking_77,,,,,,83.36,,,N/A,2024-05-21 00:00:00+00:00
parking_34,OffStreetParking,Sabado,parking_34,,,,,,77.56,,,N/A,2024-05-21 00:00:00+00:00
parking_120,OffStreetParking,Domingo,parking_120,,,,,,59.56,,,N/A,2024-05-21 00:00:00+00:00
parking_78,OffStreetParking,Sabado,parking_78,,,,,,64.6,,,N/A,2024-05-21 00:00:00+00:00
parking_5,OffStreetParking,Sabado,parking_5,,,,,,85.98,,,N/A,2024-05-21 00:00:00+00:00
parking_5,OffStreetParking,Domingo,parking_5,,,,,,62.54,,,N/A,2024-05-21 00:00:00+00:00
parking_78,OffStreetParking,Sabado,parking_78,,,,,,24.18,,,N/A,2024-05-21 00:00:00+00:00
