entityID,entityType,dayType<TextUnrestricted>,sourceRef<TextUnrestricted>,location<geo:json>,returnStops<Number>,trend<TextUnrestricted>,forwardStops<Number>,intensity<Number>,returntrips<Number>,forwardtrips<Number>,zoneList<Json>,name<TextUnrestricted>,sceneRef<TextUnrestricted>,TimeInstant<DateTime>
14,RouteIntensity,Sabado,14,,,,,2000.90243902439,,,"['19', '1', '2', '10']",,N/A,2024-05-21 00:00:00+00:00
14,RouteIntensity,Sabado,14,,,,,1891.79392624729,,,"['19', '1', '2', '10']",,N/A,2024-05-21 00:00:00+00:00
14,RouteIntensity,Viernes,14,,,,,3194.21132897604,,,"['19', '1', '2', '10']",,N/A,2024-05-21 00:00:00+00:00
14,RouteIntensity,Viernes,14,,,,,3157.09523809524,,,"['19', '1', '2', '10']",,N/A,2024-05-21 00:00:00+00:00
16,RouteIntensity,Domingo,16,,175.0,,125.0,3309.825,66.0,65.0,"['1', '5', '6', '15', '17']",,N/A,2024-05-21 00:00:00+00:00
16,RouteIntensity,Domingo,16,,175.0,,125.0,2356.66958424508,66.0,65.0,"['1', '5', '6', '15', '17']",,N/A,2024-05-21 00:00:00+00:00
16,RouteIntensity,Laborable,16,,325.0,,225.0,5804.82080924855,98.0,99.0,"['1', '5', '6', '15', '17']",,N/A,2024-05-21 00:00:00+00:00
16,RouteIntensity,Laborable,16,,325.0,,225.0,5375.95196977874,98.0,99.0,"['1', '5', '6', '15', '17']",,N/A,2024-05-21 00:00:00+00:00
16,RouteIntensity,Sabado,16,,,,,3408.2683982684,,,"['1', '5', '6', '15', '17']",,N/A,2024-05-21 00:00:00+00:00
16,RouteIntensity,Sabado,16,,,,,4382.58536585366,,,"['1', '5', '6', '15', '17']",,N/A,2024-05-21 00:00:00+00:00
16,RouteIntensity,Viernes,16,,,,,5169.85869565217,,,"['1', '5', '6', '15', '17']",,N/A,2024-05-21 00:00:00+00:00
16,RouteIntensity,Viernes,16,,,,,5541.38095238095,,,"['1', '5', '6', '15', '17']",,N/A,2024-05-21 00:00:00+00:00
18,RouteIntensity,Domingo,18,,,,,542.7,,,"['9', '10', '12', '13']",,N/A,2024-05-21 00:00:00+00:00
18,RouteIntensity,Domingo,18,,,,,682.714285714286,,,"['9', '10', '12', '13']",,N/A,2024-05-21 00:00:00+00:00
18,RouteIntensity,Laborable,18,,96.0,,72.0,4121.29479768786,63.0,62.0,"['9', '10', '12', '13']",,N/A,2024-05-21 00:00:00+00:00
18,RouteIntensity,Laborable,18,,96.0,,72.0,3924.17970858068,63.0,62.0,"['9', '10', '12', '13']",,N/A,2024-05-21 00:00:00+00:00
18,RouteIntensity,Sabado,18,,,,,1119.74509803922,,,"['9', '10', '12', '13']",,N/A,2024-05-21 00:00:00+00:00
18,RouteIntensity,Sabado,18,,,,,972.439024390244,,,"['9', '10', '12', '13']",,N/A,2024-05-21 00:00:00+00:00
18,RouteIntensity,Viernes,18,,,,,3382.83720930233,,,"['9', '10', '12', '13']",,N/A,2024-05-21 00:00:00+00:00
18,RouteIntensity,Viernes,18,,,,,3539.88671023965,,,"['9', '10', '12', '13']",,N/A,2024-05-21 00:00:00+00:00
