entityID,entityType,dayType<TextUnrestricted>,sourceRef<TextUnrestricted>,location<geo:json>,returnStops<Number>,trend<TextUnrestricted>,name<TextUnrestricted>,forwardStops<Number>,returntrips<Number>,forwardtrips<Number>,zoneList<Json>,hour<Number>,sceneRef<TextUnrestricted>,TimeInstant<DateTime>
4,RouteSchedule,Laborable,4,,23,,,25,6.0,6.0,"['1', '2', '6', '10', '11', '12']",,N/A,2024-05-21 00:00:00+00:00
4,RouteSchedule,Sabado,4,,23,,,25,4.0,5.0,"['1', '2', '6', '10', '11', '12']",,N/A,2024-05-21 00:00:00+00:00
4,RouteSchedule,Domingo,4,,23,,,25,3.0,4.0,"['1', '2', '6', '10', '11', '12']",,N/A,2024-05-21 00:00:00+00:00
4,RouteSchedule,Laborable,4,,23,,,25,6.0,6.0,"['1', '2', '6', '10', '11', '12']",,N/A,2024-05-21 00:00:00+00:00
4,RouteSchedule,Sabado,4,,23,,,25,4.0,4.0,"['1', '2', '6', '10', '11', '12']",,N/A,2024-05-21 00:00:00+00:00
4,RouteSchedule,Domingo,4,,23,,,25,4.0,3.0,"['1', '2', '6', '10', '11', '12']",,N/A,2024-05-21 00:00:00+00:00
4,RouteSchedule,Laborable,4,,23,,,25,6.0,6.0,"['1', '2', '6', '10', '11', '12']",,N/A,2024-05-21 00:00:00+00:00
4,RouteSchedule,Sabado,4,,23,,,25,4.0,4.0,"['1', '2', '6', '10', '11', '12']",,N/A,2024-05-21 00:00:00+00:00
4,RouteSchedule,Domingo,4,,23,,,25,4.0,4.0,"['1', '2', '6', '10', '11', '12']",,N/A,2024-05-21 00:00:00+00:00
4,RouteSchedule,Laborable,4,,23,,,25,7.0,6.0,"['1', '2', '6', '10', '11', '12']",,N/A,2024-05-21 00:00:00+00:00
4,RouteSchedule,Sabado,4,,23,,,25,4.0,4.0,"['1', '2', '6', '10', '11', '12']",,N/A,2024-05-21 00:00:00+00:00
4,RouteSchedule,Domingo,4,,23,,,25,4.0,4.0,"['1', '2', '6', '10', '11', '12']",,N/A,2024-05-21 00:00:00+00:00
4,RouteSchedule,Laborable,4,,23,,,25,6.0,6.0,"['1', '2', '6', '10', '11', '12']",,N/A,2024-05-21 00:00:00+00:00
4,RouteSchedule,Sabado,4,,23,,,25,4.0,5.0,"['1', '2', '6', '10', '11', '12']",,N/A,2024-05-21 00:00:00+00:00
4,RouteSchedule,Domingo,4,,23,,,25,4.0,4.0,"['1', '2', '6', '10', '11', '12']",,N/A,2024-05-21 00:00:00+00:00
4,RouteSchedule,Laborable,4,,23,,,25,6.0,6.0,"['1', '2', '6', '10', '11', '12']",,N/A,2024-05-21 00:00:00+00:00
4,RouteSchedule,Sabado,4,,23,,,25,4.0,4.0,"['1', '2', '6', '10', '11', '12']",,N/A,2024-05-21 00:00:00+00:00
4,RouteSchedule,Domingo,4,,23,,,25,3.0,4.0,"['1', '2', '6', '10', '11', '12']",,N/A,2024-05-21 00:00:00+00:00
4,RouteSchedule,Laborable,4,,23,,,25,6.0,6.0,"['1', '2', '6', '10', '11', '12']",,N/A,2024-05-21 00:00:00+00:00
4,RouteSchedule,Sabado,4,,23,,,25,4.0,4.0,"['1', '2', '6', '10', '11', '12']",,N/A,2024-05-21 00:00:00+00:00
4,RouteSchedule,Domingo,4,,23,,,25,4.0,4.0,"['1', '2', '6', '10', '11', '12']",,N/A,2024-05-21 00:00:00+00:00
4,RouteSchedule,Laborable,4,,23,,,25,5.0,6.0,"['1', '2', '6', '10', '11', '12']",,N/A,2024-05-21 00:00:00+00:00
4,RouteSchedule,Sabado,4,,23,,,25,5.0,4.0,"['1', '2', '6', '10', '11', '12']",,N/A,2024-05-21 00:00:00+00:00
4,RouteSchedule,Domingo,4,,23,,,25,4.0,4.0,"['1', '2', '6', '10', '11', '12']",,N/A,2024-05-21 00:00:00+00:00
4,RouteSchedule,Laborable,4,,23,,,25,5.0,6.0,"['1', '2', '6', '10', '11', '12']",,N/A,2024-05-21 00:00:00+00:00
4,RouteSchedule,Sabado,4,,23,,,25,4.0,5.0,"['1', '2', '6', '10', '11', '12']",,N/A,2024-05-21 00:00:00+00:00
4,RouteSchedule,Domingo,4,,23,,,25,4.0,4.0,"['1', '2', '6', '10', '11', '12']",,N/A,2024-05-21 00:00:00+00:00
4,RouteSchedule,Laborable,4,,23,,,25,4.0,5.0,"['1', '2', '6', '10', '11', '12']",,N/A,2024-05-21 00:00:00+00:00
4,RouteSchedule,Sabado,4,,23,,,25,5.0,4.0,"['1', '2', '6', '10', '11', '12']",,N/A,2024-05-21 00:00:00+00:00
4,RouteSchedule,Domingo,4,,23,,,25,3.0,2.0,"['1', '2', '6', '10', '11', '12']",,N/A,2024-05-21 00:00:00+00:00
4,RouteSchedule,Laborable,4,,23,,,25,4.0,2.0,"['1', '2', '6', '10', '11', '12']",,N/A,2024-05-21 00:00:00+00:00
4,RouteSchedule,Sabado,4,,23,,,25,4.0,4.0,"['1', '2', '6', '10', '11', '12']",,N/A,2024-05-21 00:00:00+00:00
4,RouteSchedule,Domingo,4,,23,,,25,1.0,1.0,"['1', '2', '6', '10', '11', '12']",,N/A,2024-05-21 00:00:00+00:00
4,RouteSchedule,Laborable,4,,23,,,25,0.0,1.0,"['1', '2', '6', '10', '11', '12']",,N/A,2024-05-21 00:00:00+00:00
4,RouteSchedule,Sabado,4,,23,,,25,2.0,3.0,"['1', '2', '6', '10', '11', '12']",,N/A,2024-05-21 00:00:00+00:00
5,RouteSchedule,Domingo,5,,10,,,9,0.0,0.0,['1'],,N/A,2024-05-21 00:00:00+00:00
5,RouteSchedule,Laborable,5,,10,,,9,0.0,0.0,['1'],,N/A,2024-05-21 00:00:00+00:00
5,RouteSchedule,Sabado,5,,10,,,9,0.0,0.0,['1'],,N/A,2024-05-21 00:00:00+00:00
5,RouteSchedule,Domingo,5,,10,,,9,0.0,0.0,['1'],,N/A,2024-05-21 00:00:00+00:00
5,RouteSchedule,Laborable,5,,10,,,9,0.0,0.0,['1'],,N/A,2024-05-21 00:00:00+00:00
5,RouteSchedule,Sabado,5,,10,,,9,0.0,0.0,['1'],,N/A,2024-05-21 00:00:00+00:00
5,RouteSchedule,Domingo,5,,10,,,9,0.0,0.0,['1'],,N/A,2024-05-21 00:00:00+00:00
5,RouteSchedule,Laborable,5,,10,,,9,0.0,0.0,['1'],,N/A,2024-05-21 00:00:00+00:00
5,RouteSchedule,Sabado,5,,10,,,9,0.0,0.0,['1'],,N/A,2024-05-21 00:00:00+00:00
5,RouteSchedule,Domingo,5,,10,,,9,0.0,0.0,['1'],,N/A,2024-05-21 00:00:00+00:00
5,RouteSchedule,Laborable,5,,10,,,9,0.0,0.0,['1'],,N/A,2024-05-21 00:00:00+00:00
5,RouteSchedule,Sabado,5,,10,,,9,0.0,0.0,['1'],,N/A,2024-05-21 00:00:00+00:00
5,RouteSchedule,Domingo,5,,10,,,9,0.0,0.0,['1'],,N/A,2024-05-21 00:00:00+00:00
5,RouteSchedule,Laborable,5,,10,,,9,0.0,0.0,['1'],,N/A,2024-05-21 00:00:00+00:00
5,RouteSchedule,Sabado,5,,10,,,9,0.0,0.0,['1'],,N/A,2024-05-21 00:00:00+00:00
5,RouteSchedule,Domingo,5,,10,,,9,0.0,0.0,['1'],,N/A,2024-05-21 00:00:00+00:00
5,RouteSchedule,Laborable,5,,10,,,9,0.0,0.0,['1'],,N/A,2024-05-21 00:00:00+00:00
5,RouteSchedule,Sabado,5,,10,,,9,0.0,0.0,['1'],,N/A,2024-05-21 00:00:00+00:00
5,RouteSchedule,Domingo,5,,10,,,9,3.0,3.0,['1'],,N/A,2024-05-21 00:00:00+00:00
5,RouteSchedule,Laborable,5,,10,,,9,3.0,5.0,['1'],,N/A,2024-05-21 00:00:00+00:00
