entityID,entityType,dayType<TextUnrestricted>,sourceRef<TextUnrestricted>,location<geo:json>,trend<TextUnrestricted>,name<TextUnrestricted>,zone<TextUnrestricted>,intensity<Number>,hour<Number>,sceneRef<TextUnrestricted>,TimeInstant<DateTime>
puntoMedida_116_tra,TrafficIntensity,Sabado,puntoMedida_116_tra,,,,,117.049180327869,,N/A,2024-05-21 00:00:00+00:00
puntoMedida_929_tra,TrafficIntensity,Sabado,puntoMedida_929_tra,,,,,245.51724137931,,N/A,2024-05-21 00:00:00+00:00
puntoMedida_703_tra,TrafficIntensity,Laborable,puntoMedida_703_tra,,,,,183.841905793178,,N/A,2024-05-21 00:00:00+00:00
puntoMedida_710_tra,TrafficIntensity,Domingo,puntoMedida_710_tra,,,,,233.825278810409,,N/A,2024-05-21 00:00:00+00:00
puntoMedida_1433_tra,TrafficIntensity,Sabado,puntoMedida_1433_tra,,,,,398.528985507246,,N/A,2024-05-21 00:00:00+00:00
puntoMedida_116_tra,TrafficIntensity,Viernes,puntoMedida_116_tra,,,,,82.32,,N/A,2024-05-21 00:00:00+00:00
puntoMedida_917_tra,TrafficIntensity,Sabado,puntoMedida_917_tra,,,,,285.863468634686,,N/A,2024-05-21 00:00:00+00:00
puntoMedida_1004_tra,TrafficIntensity,Domingo,puntoMedida_1004_tra,,,,,99.2266009852217,,N/A,2024-05-21 00:00:00+00:00
puntoMedida_408_tra,TrafficIntensity,Viernes,puntoMedida_408_tra,,,,,633.965034965035,,N/A,2024-05-21 00:00:00+00:00
puntoMedida_1419_tra,TrafficIntensity,Viernes,puntoMedida_1419_tra,,,,,454.583333333333,,N/A,2024-05-21 00:00:00+00:00
puntoMedida_521_tra,TrafficIntensity,Viernes,puntoMedida_521_tra,,,,,975.8125,,N/A,2024-05-21 00:00:00+00:00
puntoMedida_506_tra,TrafficIntensity,Domingo,puntoMedida_506_tra,,,,,1758.3,,N/A,2024-05-21 00:00:00+00:00
puntoMedida_1328_tra,TrafficIntensity,Viernes,puntoMedida_1328_tra,,,,,1584.80144404332,,N/A,2024-05-21 00:00:00+00:00
puntoMedida_1327_tra,TrafficIntensity,Domingo,puntoMedida_1327_tra,,,,,720.7,,N/A,2024-05-21 00:00:00+00:00
puntoMedida_1409_tra,TrafficIntensity,Laborable,puntoMedida_1409_tra,,,,,143.790697674419,,N/A,2024-05-21 00:00:00+00:00
puntoMedida_416_tra,TrafficIntensity,Sabado,puntoMedida_416_tra,,,,,169.880829015544,,N/A,2024-05-21 00:00:00+00:00
puntoMedida_211_tra,TrafficIntensity,Laborable,puntoMedida_211_tra,,,,,263.85,,N/A,2024-05-21 00:00:00+00:00
puntoMedida_1125_tra,TrafficIntensity,Sabado,puntoMedida_1125_tra,,,,,85.8538011695906,,N/A,2024-05-21 00:00:00+00:00
puntoMedida_422_tra,TrafficIntensity,Laborable,puntoMedida_422_tra,,,,,165.912067352666,,N/A,2024-05-21 00:00:00+00:00
puntoMedida_1026_tra,TrafficIntensity,Domingo,puntoMedida_1026_tra,,,,,1035.66666666667,,N/A,2024-05-21 00:00:00+00:00
puntoMedida_727_tra,TrafficIntensity,Laborable,puntoMedida_727_tra,,,,,279.564356435644,,N/A,2024-05-21 00:00:00+00:00
